,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
strain_001,0.0028408956623169612,-0.7329555570837841,-0.5822920284653713,1.6564511141913356,-0.020251379411714156,-2.320374491640255,3.0663816169836973,0.2134429941547819,1.7134473754762687,-2.416417737810299
strain_002,-0.050083389606602344,-0.007282241402184744,1.0849074021932965,-0.5863272108214799,2.2457244311574587,6.593504077334721,6.071613448567934,-1.4049814401341205,2.8819993180723538,-1.5972333967091188
strain_003,8.307391321614016,7.326678472371598,3.074491302080491,-7.623933476966679,-4.615167519924033,0.08588578164111177,-2.316990458747729,-5.668926693073036,3.7477988729325062,-4.464624936521262
strain_004,0.2412989652687267,-0.8082868377576387,1.6245775331533592,3.1898445045311035,3.147334098575189,-3.5772200282139277,0.05803300140294264,2.290838883820558,3.266282791881498,0.05216226653249865
strain_005,-1.9498479506754256,-0.1090398776435212,-4.7260023529828326,3.3452361811513565,-3.4057463725945682,-1.2116905943313108,-1.1307955877675193,2.3490973085557263,-0.22057171900610037,-4.1264206898338545
strain_006,-1.1953412407838249,7.154690451247614,-0.8225038039152621,0.9273657232087414,1.4151459060135292,-4.346269418815394,-1.9520954053507267,2.3533070603985133,6.142020103688379,1.094456732397308
strain_007,-6.854630600075648,0.9229069140223377,0.04804927057277642,3.6108770627688482,-8.607201399557894,2.217515353379473,3.565282163523354,-2.102923716641931,-3.8129979273759282,-1.333151795482777
strain_008,3.620586756310219,4.2369699586339395,0.0757495179140663,-1.1994023930219362,2.859659113895704,-8.880479821305249,-2.281109224702886,-6.403062564923384,0.09115384425010728,3.0705594342005242
strain_009,-0.127254613858277,2.804576747787426,0.23314658964602317,-1.2022392922342122,-5.641055602090159,-2.6860200287810216,-0.312955131283214,-0.6584011215348631,-4.254204746032875,3.893354382761011
strain_010,-2.025000649999831,1.3832178768835346,-7.567029381555122,4.644616590694725,6.266735420598425,0.022221139287922655,-3.6400762603739536,-3.0855250463665445,-3.187638657802297,3.45770940327787
strain_011,-0.3186771128112852,-1.7724830441647337,-8.501235306881162,-3.3005842846027336,-1.9079658343307202,3.9890719673963466,2.1115538298120153,-2.408793470784217,4.108137328278146,-0.5938416085305448
strain_012,-4.450483960562817,-1.7024943782985642,-4.719360330209841,-7.461644068308764,2.8607703655632584,4.344196136822902,2.0538850747473654,3.4287392683315323,1.5748496613933785,-2.3659062736445593
strain_013,1.5667102103017696,2.721039568132058,-7.801918545707594,1.8866681638623408,0.7490335002316563,-3.0361997504904736,-2.4720165228301965,2.9458885703436204,1.348787964392607,2.006118629947154
strain_014,1.4853183584077223,-4.996479667628061,-1.0514044729946552,1.9850649982887123,2.062333900178024,1.8128877342359913,2.689014785886964,-3.867797184132976,1.7511636628978513,-1.3184745064619583
strain_015,0.77905459570734,-0.38711168455710265,-4.486247084825478,-1.1511070289884948,3.787776755720955,-0.22448487896725167,-0.6067580187739656,-0.6002677962763228,-1.202775498737143,-3.15871840059533
strain_016,1.0659161360270062,-1.0259313177808713,0.41091981143895995,1.1601957820836704,-4.246880683650651,1.0753984399116923,-1.3405925652588209,-3.874525518384212,2.6522072246222765,-2.915178678284084
strain_017,2.638674127606483,0.9946085190370507,3.618670746601535,-2.476605954145877,-0.38141238782817266,-5.282910728818042,-1.6168696065159163,0.9520229623262084,-4.478538039973719,4.2705880273033765
strain_018,-2.275555985305953,-5.694292834346171,3.826069747773446,-1.457990317627701,-1.2903440854413057,3.0093789779364686,-5.7604921287203155,1.2371362794531717,-1.3706977668857248,1.6925768591618537
strain_019,4.496744818413297,-0.5469538773836398,3.0283419732322288,4.373907552226319,-0.38536680766444936,3.4810986399702757,-1.62661165342564,0.1618741631147655,1.6881992596597015,-0.19882254024663995
strain_020,0.32708361362554345,2.067102482162675,-1.2480183552111055,0.27246145059900745,2.0847277931348467,0.5387009088611071,4.006856788705558,4.702364266690103,3.5616149462750872,-6.310848719102087
strain_021,-1.1528585854132147,4.30860609216378,-3.3057829876265385,3.189669335521546,2.276315438746439,-0.7549457358650292,2.754358843885375,-3.8509091887121825,-2.673349219748226,-0.35623830849819493
strain_022,-1.7313061604455942,4.566981889524702,-0.6190201937446249,-0.20305035996339457,-4.520781527545759,2.1955441374600326,-0.5550928407104098,-0.03355587305937686,2.2501514782484064,-0.8857369716088079
strain_023,-2.9054117078370356,2.425598740236355,7.337105813901693,2.0672317635645907,0.004634554090180311,2.5412185373223894,0.8717503381835113,5.3849145517985555,3.267958054618359,3.3510081603318085
strain_024,0.4267734770700834,1.2397635259217192,-3.588547182288277,0.8018603174238063,1.9195257571648625,1.3302123931338379,-4.043808623466669,0.7858879675485032,-2.959999758208812,-1.093176047884004
strain_025,-0.7523224214506798,4.639113056251589,-1.3278283672428004,-6.768482232394598,3.6875627591363704,-3.387537677473454,-1.9451064050100872,-3.271499739149628,-3.848254556032861,-3.18487704721626
strain_026,8.634004226007917,-3.2305271600125773,-1.388068661989196,-1.4003233837822266,-0.5033248780544899,-1.800753497499554,0.9659421232423783,6.592696354734887,-4.206620858609165,3.299187303562606
